"Page","Index","Src","Alt"
"project-beyond-just-an-exhibition","3","../images/beyond-exhibition-bouncing-valley-inflatable-light-ball-letsuan-design.jpg","Bouncing Valley inflatable light-ball installation"
"project-beyond-just-an-exhibition","4","../images/beyond-exhibition-child-and-parent-interacting-letsuan-design.jpg","Child and parent interacting with A Table Where Little People Live"
"project-beyond-just-an-exhibition","5","../images/beyond-exhibition-immersive-floral-wall-projection-with-letsuan-design.jpg","Immersive floral wall projection with visitors"
"project-beyond-just-an-exhibition","6","../images/beyond-exhibition-rainbow-and-world-map-immersive-wall-letsuan-design.jpg","Rainbow and world map immersive wall with visitor workstations"
"project-beyond-just-an-exhibition","7","../images/beyond-exhibition-sunflower-field-immersive-room-with-visitors-letsuan-design.jpg","Sunflower Field immersive room with visitors"
"project-beyond-just-an-exhibition","8","../images/beyond-exhibition-grid-patterned-immersive-corridor-with-letsuan-design.jpg","Grid-patterned immersive corridor with visitors"
"project-beyond-just-an-exhibition","9","../images/beyond-exhibition-ceiling-truss-with-projectors-and-blending-letsuan-design.jpg","Ceiling truss with projectors and blending processors during construction"
"project-cat-art","0","../images/cat-art-dream-painting-cat-parody-with-visitor-letsuan-design.jpg","Cat Art Museum — Visitor viewing a gold-framed cat parody reinterpretation of Picasso's The Dream painting"
"project-cat-art","1","../images/cat-art-starry-night-mural-reinterpreted-with-cat-letsuan-design.jpg","Starry Night mural reinterpreted with cat motifs"
"project-cat-art","2","../images/cat-art-gallery-corridor-with-cat-themed-letsuan-design.jpg","Gallery corridor with cat-themed reinterpretations of classical portraits"
"project-cat-art","3","../images/cat-art-yellow-gallery-corridor-with-renoir-style-cat-letsuan-design.jpg","Yellow gallery corridor with Renoir-style cat paintings"
"project-cat-art","4","../images/cat-art-yellow-and-pink-gallery-corridor-letsuan-design.jpg","Yellow and pink gallery corridor with framed cat artworks"
"project-cat-art","5","../images/cat-art-purple-gallery-corridor-with-framed-cat-letsuan-design.jpg","Purple gallery corridor with framed cat artworks"
"project-cat-art","6","../images/cat-art-mona-lisa-cat-scene-with-visitor-letsuan-design.jpg","Mona Lisa cat scene with visitor seated at desk"
"project-cat-art","7","../images/cat-art-sculpted-cat-figures-recreating-sunday-letsuan-design.jpg","Sculpted cat figures recreating Sunday Afternoon painting scene"
"project-cat-art","8","../images/cat-art-mondrian-style-geometric-display-installation-letsuan-design.jpg","Mondrian-style geometric display installation"
"project-cat-art","9","../images/cat-art-sculpted-cat-figures-in-green-park-letsuan-design.jpg","Sculpted cat figures in green park scene with umbrellas"
"project-cat-art","10","../images/cat-art-cat-themed-gallery-room-with-sculpted-cat-letsuan-design.jpg","Cat-themed gallery room with sculpted cat figure and framed artworks"
"project-changhua-flower","0","../images/changhua-flower-orsted-pavilion-curved-feature-wall-letsuan-design.jpg","Points of Light in Grayscale: Turning an Odd-Shaped Plot into a Destination — Ørsted Pavilion curved feature wall with wind turbines and ocean mural at dusk"
"project-changhua-flower","1","../images/changhua-flower-xizhou-park-pathway-with-concrete-planters-letsuan-design.jpg","Xizhou Park pathway with concrete planters and glass building"
"project-changhua-flower","2","../images/changhua-flower-orsted-pavilion-feature-wall-among-flower-letsuan-design.jpg","Ørsted Pavilion feature wall among flower beds at sunset"
"project-changhua-flower","3","../images/changhua-flower-qr-code-signage-post-among-flower-letsuan-design.jpg","QR code signage post among flower beds"
"project-changhua-flower","4","../images/changhua-flower-child-flying-a-kite-in-front-letsuan-design.jpg","Child flying a kite in front of Ørsted feature wall"
"project-changhua-flower","5","../images/changhua-flower-zodiac-rabbit-cutout-signage-among-flower-letsuan-design.jpg","Zodiac rabbit cutout signage among flower beds"
"project-changhua-flower","6","../images/changhua-flower-orsted-branding-sign-with-clownfish-cutout-letsuan-design.jpg","Ørsted branding sign with clownfish cutout among plants"
"project-detective-conan-taipei","0","../images/detective-conan-taipei-01-letsuan-design.jpg","Detective Conan — Child visitor wearing a cap and headset leaning over crime-scene tape to inspect a clue with a magnifying pencil"
"project-detective-conan-taipei","1","../images/detective-conan-kaohsiung-05-letsuan-design-e3ab27a2.jpg","Numbered clue board wall showing crime-scene evidence cards such as a Baumkuchen cake and a fruit knife"
"project-detective-conan-taipei","2","../images/detective-conan-taipei-02-letsuan-design.jpg","Keyhole-shaped zone signage for the Information-gathering and Crime Scene Inspection areas, with visitors browsing"
"project-detective-conan-taipei","3","../images/detective-conan-taipei-03-letsuan-design.jpg","Visitors holding magnifying-glass card props behind crime-scene tape, investigating a chalk body outline and evidence desk"
"project-detective-conan-taipei","4","../images/detective-conan-taipei-04-letsuan-design.jpg","Recreated study scene with a life-size Conan cutout, bookshelves, evidence desk and numbered chalk body outline clues"
"project-detective-conan-taipei","5","../images/detective-conan-kaohsiung-04-letsuan-design-bd5d63d1.jpg","Detective Conan Kaohsiung interactive device"
"project-detective-conan-taipei","6","../images/detective-conan-kaohsiung-mystery-cafe-information-gathering-station-letsuan-design.png","Visitors investigating clues at a mystery cafe information-gathering station with a life-sized character cutout"
"project-detective-conan-taipei","7","../images/detective-conan-taipei-06-letsuan-design.jpg","Recreated Cafe Poirot dining room set with tables, chairs and shelves of dishware"
"project-detective-conan-taipei","8","../images/detective-conan-taipei-05-letsuan-design.jpg","Interrogation-room-style set with leather sofas, a desk with laptop, and large red Chinese character banners on the wall"
"project-detective-conan-taipei","9","../images/detective-conan-kaohsiung-03-letsuan-design-b739cea2.jpg","Blue UV-lit interactive investigation booth with touchscreens asking 'What is the red stain really?' beside character cutouts"
"project-detective-conan-taipei","10","../images/detective-conan-taipei-16-letsuan-design.jpg","Visitor using a UV flashlight to reveal a fingerprint clue on a wine bottle prop"
"project-detective-conan-taipei","11","../images/detective-conan-taipei-08-letsuan-design.jpg","Three visitors pointing at an interactive touchscreen analyzing the true nature of a red stain"
"project-detective-conan-taipei","12","../images/detective-conan-taipei-09-letsuan-design.jpg","Character standee wall with Conan and cast dialogue speech bubbles about the exhibition mystery"
"project-detective-conan-taipei","13","../images/detective-conan-taipei-10-letsuan-design.jpg","Conan and a blond-haired character figure statue wearing white gloves, displayed behind keep-out tape"
"project-detective-conan-taipei","14","../images/detective-conan-kaohsiung-02-letsuan-design-d8aed0bb.jpg","Split before/after view: dim empty venue shell and workers on a scissor lift installing the city-skyline backdrop graphic"
"project-detective-conan-taipei","15","../images/detective-conan-taipei-11-letsuan-design.jpg","Wall of enlarged manga panel montages from the Detective Conan story"
"project-detective-conan-taipei","16","../images/detective-conan-taipei-12-letsuan-design.jpg","Installation in progress: worker on a stepladder assembling modular wall panels in the unlit venue shell"
"project-detective-conan-taipei","17","../images/detective-conan-taipei-13-letsuan-design.jpg","Installation in progress: crew laying out and cutting plywood wall panels across the venue floor"
"project-detective-conan-taipei","18","../images/detective-conan-taipei-14-letsuan-design.jpg","Installation in progress: crew assembling concrete-look wall modules and stacking plywood panels"
"project-detective-conan-taipei","19","../images/detective-conan-taipei-15-letsuan-design.jpg","Final installation touch-ups: worker finishing an interactive touchscreen station wall amid supply boxes"
"project-detention-pier2","0","../images/detention-pier2-detention-reality-experience-metal-wall-letsuan-design.jpg","Detention Reality Experience metal wall texture with lighting detail"
"project-detention-pier2","1","../images/detention-pier2-hospital-bed-scene-with-eye-chart-letsuan-design.jpg","Hospital bed scene with eye chart light box"
"project-detention-pier2","2","../images/detention-pier2-recreated-office-desk-with-green-bankers-letsuan-design.jpg","Recreated office desk with green banker's lamp and rotary phone"
"project-detention-pier2","3","../images/detention-pier2-dark-corridor-with-double-doors-letsuan-design.jpg","Dark corridor with double doors and torn paper on walls"
"project-detention-pier2","4","../images/detention-pier2-recreated-bathroom-sink-area-with-dripping-letsuan-design.jpg","Recreated bathroom sink area with dripping faucets and graffiti mirror"
"project-detention-pier2","5","../images/detention-pier2-guard-walking-down-corridor-lined-letsuan-design.jpg","Guard walking down corridor lined with hanging puppets and lantern"
"project-detention-pier2","6","../images/detention-pier2-ceiling-of-hanging-traditional-puppets-letsuan-design.jpg","Ceiling of hanging traditional puppets and red lantern"
"project-detention-pier2","7","../images/detention-pier2-museum-style-display-case-with-cultural-letsuan-design.jpg","Museum-style display case with cultural artifacts"
"project-detention-pier2","8","../images/detention-pier2-rusted-cell-door-latch-detail-letsuan-design.jpg","Rusted cell door latch detail"
"project-detention-pier2","9","../images/detention-pier2-iron-shackles-hanging-on-concrete-wall-letsuan-design.jpg","Iron shackles hanging on concrete wall"
"project-detention-pier2","10","../images/detention-pier2-recreated-prison-guard-room-with-desk-letsuan-design.jpg","Recreated prison guard room with desk lamp and radio"
"project-detention-pier2","11","../images/detention-pier2-visitors-watching-projection-screen-inside-letsuan-design.jpg","Visitors watching projection screen inside dark exhibit room"
"project-detention-pier2","12","../images/detention-pier2-red-exhibition-wall-introducing-the-detention-letsuan-design.jpg","Red exhibition wall introducing the Detention game story with character art"
"project-detention-pier2","13","../images/detention-pier2-red-history-timeline-wall-with-display-letsuan-design.jpg","Red history timeline wall with display cases"
"project-detention-pier2","14","../images/detention-reality-experience-songshan-01-letsuan-design.jpg","Detention Pier2 mask scene"
"project-detention-pier2","15","../images/detention-reality-experience-songshan-02-letsuan-design.jpg","Detention Pier2 signage"
"project-detention-pier2","16","../images/detention-reality-experience-songshan-03-letsuan-design.jpg","Detention Pier2 immersive scene wide view"
"project-dragon-to-beast","0","../images/dragon-to-beast-sauropod-skeletons-being-installed-in-outdoor-letsuan-design.jpg","From Dragon to Beast — Sauropod skeletons being installed in outdoor courtyard"
"project-dragon-to-beast","1","../images/dragon-to-beast-large-sauropod-skeleton-display-with-feature-letsuan-design.jpg","Large sauropod skeleton display with feature walls"
"project-dragon-to-beast","2","../images/dragon-to-beast-dinosaur-skeleton-exhibit-zone-with-map-letsuan-design.jpg","Dinosaur skeleton exhibit zone with map display"
"project-dragon-to-beast","3","../images/dragon-to-beast-origin-development-mammals-entrance-letsuan-design.jpg","Visitor photographing a small mammal skeleton display at the Origin and Development of Mammals exhibit entrance"
"project-dragon-to-beast","4","../images/dragon-to-beast-orange-exhibition-hall-illuminated-pathway-visitors-letsuan-design.png","Visitors walking through orange-toned exhibition hall with illuminated floor pathways and skeleton display cases"
"project-dragon-to-beast","5","../images/dragon-to-beast-exhibition-zone-with-colorful-feature-walls-letsuan-design.jpg","Exhibition zone with colorful feature walls and fossil display cases"
"project-dragon-to-beast","6","../images/dragon-to-beast-carnivora-skeleton-display-corner-letsuan-design.jpg","Carnivora exhibition corner with orange walls displaying carnivore mammal skeletons and skulls in illuminated glass cases"
"project-dragon-to-beast","7","../images/dragon-to-beast-african-mammal-exhibition-zone-with-skeleton-letsuan-design.jpg","African mammal exhibition zone with skeleton displays"
"project-dragon-to-beast","8","../images/dragon-to-beast-row-of-large-skull-fossils-letsuan-design.jpg","Row of large skull fossils in glass display case"
"project-dragon-to-beast","9","../images/dragon-to-beast-prehistoric-mammal-skeleton-diorama-letsuan-design.jpg","Prehistoric mammal skeleton mounts displayed against a painted savanna backdrop"
"project-dragon-to-beast","10","../images/dragon-to-beast-skeleton-display-case-with-rhino-letsuan-design.jpg","Skeleton display case with rhino and mammal fossils"
"project-dragon-to-beast","11","../images/dragon-to-beast-rhinoceros-giraffe-skeleton-gallery-letsuan-design.jpg","White rhinoceros and giraffe skeleton mounts on display, with the adjoining gallery visible beyond"
"project-dragon-to-beast","12","../images/dragon-to-beast-mammal-skull-fossil-display-shelves-letsuan-design.jpg","Rows of mammal skull and jawbone fossils displayed on illuminated shelves and in a glass case"
"project-dragon-to-beast","13","../images/dragon-to-beast-whale-skeletons-suspended-above-display-cases-letsuan-design.jpg","Whale skeletons suspended above display cases"
"project-dragon-to-beast","14","../images/dragon-to-beast-mammal-fossil-gallery-with-illustrated-letsuan-design.jpg","Mammal fossil gallery with illustrated backdrop panels"
"project-engineering-construction","0","../images/engineering-construction-circular-exhibition-hall-with-central-planter-letsuan-design.jpg","Disaster Prevention Hall — Circular exhibition hall with central planter and panel walls"
"project-engineering-construction","1","../images/engineering-construction-central-bamboo-planter-feature-with-letsuan-design.jpg","Central bamboo planter feature with surrounding display panels"
"project-engineering-construction","2","../images/engineering-construction-flood-myth-wall-panel-with-wave-textured-letsuan-design.jpg","Flood myth wall panel with wave-textured relief"
"project-engineering-construction","3","../images/engineering-construction-flood-exhibit-corridor-with-projection-letsuan-design.jpg","Flood exhibit corridor with projection and glass display case"
"project-engineering-construction","4","../images/engineering-construction-column-display-with-glass-leaf-sculptures-letsuan-design.jpg","Column display with glass leaf sculptures and disaster panels"
"project-engineering-construction","5","../images/engineering-construction-curved-wall-with-flood-control-image-letsuan-design.jpg","Curved wall with flood control image panels and Taiwan map graphic"
"project-engineering-construction","6","../images/engineering-construction-water-conservation-exhibit-panels-with-letsuan-design.jpg","Water conservation exhibit panels with circular display windows"
"project-fullchamp-brochure","0","../images/fullchamp-brochure-fullchamp-forged-metal-solutions-brochure-letsuan-design.jpg","FullChamp Forged Metal Solutions brochure cover with truck imagery"
"project-fullchamp-brochure","1","../images/fullchamp-brochure-brochure-spread-showing-12000-ton-metal-letsuan-design.jpg","Brochure spread showing 12000-ton metal forging press facility"
"project-fullchamp-brochure","2","../images/fullchamp-brochure-brochure-spread-with-quality-guarantee-letsuan-design.jpg","Brochure spread with quality guarantee and forging process robot imagery"
"project-green-energy","0","../images/green-energy-vision-pavilion-tiered-concrete-planter-wall-letsuan-design.jpg","Wind, and Geothermal Energy Converge in a Single Pavilion — Tiered concrete planter wall with cascading greenery at the Green Energy Vision Pavilion entrance"
"project-green-energy","1","../images/green-energy-vision-pavilion-10-letsuan-design.jpg","Entrance signage reading '台泥綠能願景館' (TCCGE Green Energy Vision Pavilion) with TCCGE and TCC logos"
"project-green-energy","2","../images/green-energy-vision-pavilion-11-letsuan-design.jpg","Projected animation display beside a plaque explaining the meaning of the TCC Green Energy logo"
"project-green-energy","3","../images/green-energy-vision-pavilion-03-letsuan-design.jpg","DC/AC current and wind power educational corridor with interactive touch panels at the Green Energy Vision Pavilion"
"project-green-energy","4","../images/green-energy-vision-pavilion-01-letsuan-design.jpg","Timeline wall with interactive touch panels tracing the history of electricity from the 19th to 21st century"
"project-green-energy","5","../images/green-energy-vision-pavilion-02-letsuan-design.jpg","Illuminated display panels explaining household electricity use and energy-saving tips"
"project-green-energy","6","../images/green-energy-vision-pavilion-13-letsuan-design.jpg","Illustrated wind turbine cutout display comparing a 508-meter turbine height against the Taipei 101 skyline"
"project-green-energy","7","../images/green-energy-vision-pavilion-07-letsuan-design.jpg","Cross-section model of a wind turbine nacelle with numbered labels showing internal mechanical components"
"project-green-energy","8","../images/green-energy-vision-pavilion-visitor-viewing-solar-energy-zone-letsuan-design.jpg","Visitor viewing the Solar Energy exhibit zone, with solar panel samples and a wind turbine video screen"
"project-green-energy","9","../images/green-energy-vision-pavilion-06-letsuan-design.jpg","Visitors touring the Geothermal Energy exhibit zone with a guide explaining the display"
"project-green-energy","10","../images/green-energy-vision-pavilion-12-letsuan-design.jpg","Visitors gathered around an interactive solar power information display at Green Energy Vision Pavilion"
"project-green-energy","11","../images/green-energy-vision-pavilion-08-letsuan-design.jpg","Installation crew mounting display graphics and panels during construction of the exhibit corridor"
"project-hakka-culture","0","../images/hakka-culture-entrance-feature-wall-with-tree-cutout-letsuan-design.jpg","Enriching Hakka Settlements — Entrance feature wall with tree cutout graphic and exhibition title"
"project-hakka-culture","1","../images/hakka-culture-projection-screen-showing-archival-camphor-letsuan-design.jpg","Projection screen showing archival camphor industry photograph"
"project-hakka-culture","2","../images/hakka-culture-camphor-tree-branch-display-with-wood-letsuan-design.jpg","Camphor tree branch display with wood carving artifact showcase"
"project-hakka-culture","3","../images/hakka-culture-gallery-corridor-with-tree-branch-display-letsuan-design.jpg","Gallery corridor with tree branch display and photo panels"
"project-hakka-culture","4","../images/hakka-culture-exhibition-02-letsuan-design.jpg","Hakka Culture Development Center closing view"
"project-jehol-biota","0","../images/jehol-biota-exhibition-01-letsuan-design.jpg","Opening Day, and Not One of the 93 Fossils Could Be Late — Jehol Biota exhibition case with bird fossil specimens and illustrations"
"project-jehol-biota","1","../images/jehol-biota-exhibition-02-letsuan-design.jpg","Jehol Biota exhibition wall on pterosaur skeleton structures"
"project-jehol-biota","2","../images/jehol-biota-exhibition-03-letsuan-design.jpg","Jehol Biota exhibition corridor with fossil display panels"
"project-jehol-biota","3","../images/jehol-biota-exhibition-04-letsuan-design.jpg","Curator installing a fossil specimen into a display case at Jehol Biota exhibition"
"project-jehol-biota","4","../images/jehol-biota-exhibition-05-letsuan-design.jpg","Jehol Biota exhibition entrance wall with fossil display cases"
"project-jehol-biota","5","../images/jehol-biota-exhibition-06-letsuan-design.jpg","Jehol Biota exhibition map wall showing fossil site locations"
"project-jehol-biota","6","../images/jehol-biota-exhibition-07-letsuan-design.jpg","Jehol Biota exhibition display with red cabinet and bird artwork"
"project-jehol-biota","7","../images/jehol-biota-exhibition-08-letsuan-design.jpg","Jehol Biota exhibition gallery room with fossil display cases"
"project-jehol-biota","8","../images/jehol-biota-exhibition-09-letsuan-design.jpg","Jehol Biota exhibition fossil display case detail"
"project-jehol-biota","9","../images/jehol-biota-exhibition-10-letsuan-design.jpg","Jehol Biota exhibition wall on fossil biota formation and importance"
"project-jehol-biota","10","../images/jehol-biota-exhibition-11-letsuan-design.jpg","Painter finishing the Jehol Biota entrance wall mural during installation"
"project-jehol-biota","11","../images/jehol-biota-exhibition-12-letsuan-design.jpg","Exhibition hall under construction ahead of the Jehol Biota opening"
"project-just-only-environment","0","../images/just-only-environment-paper-pulp-mold-technology-brochure-cover-letsuan-design.jpg","Just Only — Paper Pulp Mold Technology brochure cover with folded panel detail"
"project-just-only-environment","1","../images/just-only-environment-brochure-spread-showing-inspection-reports-letsuan-design.jpg","Brochure spread showing inspection reports and manufacturing process"
"project-just-only-environment","2","../images/just-only-environment-brochure-spread-showing-paper-pulp-mold-letsuan-design.jpg","Brochure spread showing paper pulp mold tableware product catalog"
"project-just-only-environment","3","../images/just-only-environment-brochure-back-cover-with-blue-gradient-letsuan-design.jpg","Brochure back cover with blue gradient and Paper Pulp Mold Tableware branding"
"project-just-only-environment","4","../images/just-only-environment-brochure-spread-showing-patterned-paper-pulp-letsuan-design.jpg","Brochure spread showing patterned paper pulp plates and bowls"
"project-la-fortuna-bordada","0","../images/la-fortuna-bordada-exhibition-banner-museo-entrance-letsuan-design.jpg","La Fortuna Bordada exhibition banner at the Museo Nacional de Artes Decorativas entrance"
"project-la-fortuna-bordada","1","../images/la-fortuna-bordada-gallery-display-cases-embroidered-accessories-letsuan-design.jpg","La Fortuna Bordada gallery with display cases of embroidered accessories"
"project-la-fortuna-bordada","2","../images/la-fortuna-bordada-gallery-corridor-embroidered-garment-panels-letsuan-design.jpg","La Fortuna Bordada gallery corridor with embroidered garment panels"
"project-la-fortuna-bordada","3","../images/la-fortuna-bordada-display-case-embroidered-headwear-accessories-letsuan-design.jpg","La Fortuna Bordada display case with embroidered headwear and accessories"
"project-la-fortuna-bordada","4","../images/la-fortuna-bordada-framed-embroidery-panels-through-archway-letsuan-design.jpg","La Fortuna Bordada framed embroidery panels seen through an archway"
"project-la-fortuna-bordada","5","../images/la-fortuna-bordada-curators-inspecting-embroidered-artifacts-letsuan-design.jpg","La Fortuna Bordada curators inspecting embroidered artifacts in a display case"
"project-la-fortuna-bordada","6","../images/la-fortuna-bordada-exhibition-wall-embroidered-panels-letsuan-design.jpg","La Fortuna Bordada exhibition wall of embroidered panels"
"project-la-fortuna-bordada","7","../images/la-fortuna-bordada-wall-framed-rank-badge-embroidery-letsuan-design.jpg","La Fortuna Bordada wall of framed rank badge embroidery with wall text"
"project-led-kinetic","0","../images/universe-led-kinetic-light-01-letsuan-design.jpg","Universe LED kinetic light installation"
"project-led-kinetic","1","../images/universe-led-kinetic-light-02-letsuan-design.jpg","Universe kinetic light closeup"
"project-marine-illusion","0","../images/marine-illusion-visitors-exploring-the-masters-of-marine-letsuan-design.jpg","Seeing is Believing? — Masters of Marine Illusion exhibition panorama with visitors viewing aquarium tanks"
"project-marine-illusion","1","../images/marine-illusion-masters-of-marine-illusion-octopus-mural-letsuan-design.jpg","Masters of Marine Illusion octopus mural entrance wall"
"project-marine-illusion","2","../images/marine-illusion-masters-of-marine-illusion-visitor-letsuan-design.jpg","Masters of Marine Illusion visitor interacting with Ocean Mimic Master game"
"project-marine-illusion","3","../images/marine-illusion-masters-of-marine-illusion-visitor-viewing-letsuan-design.jpg","Masters of Marine Illusion visitor viewing tiered aquarium display"
"project-marine-illusion","4","../images/marine-illusion-masters-of-marine-illusion-display-case-letsuan-design.jpg","Masters of Marine Illusion display case detail"
"project-marine-illusion","5","../images/marine-illusion-masters-of-marine-illusion-thin-wall-lining-letsuan-design.jpg","Masters of Marine Illusion thin-wall lining installation in progress"
"project-marine-illusion","6","../images/marine-illusion-masters-of-marine-illusion-aquarium-tank-letsuan-design.jpg","Masters of Marine Illusion aquarium tank installation detail"
"project-missing-scientist","0","../images/missing-scientist-visitor-viewing-curved-gallery-wall-letsuan-design.jpg","The Missing Scientist — Visitor viewing curved gallery wall with electromagnetic theory graphics and illuminated display column"
"project-missing-scientist","1","../images/missing-scientist-magnetic-levitation-display-case-letsuan-design.jpg","Electromagnetic Horizon II magnetic levitation display case"
"project-missing-scientist","2","../images/missing-scientist-interactive-display-station-letsuan-design.jpg","Visitors looking at an interactive electrical grid model display station"
"project-missing-scientist","3","../images/missing-scientist-kinetic-exercise-game-area-letsuan-design.jpg","Electromagnetic Horizon II kinetic exercise game area"
"project-missing-scientist","4","../images/missing-scientist-solar-energy-display-letsuan-design.jpg","Electromagnetic Horizon II solar energy display"
"project-missing-scientist","5","../images/missing-scientist-overhead-lighting-av-rigging-grid-letsuan-design.jpg","Overhead lighting and AV rigging grid with projectors mounted above the exhibition space"
"project-mobile-museum","0","../images/mobile-museum-exhibition-01-letsuan-design.jpg","8.5 ping: A Museum on Wheels — Mobile Museum vehicle"
"project-mobile-museum","1","../images/mobile-museum-exhibition-02-letsuan-design.jpg","Mobile Museum exhibit"
"project-mobile-museum","2","../images/mobile-museum-green-glazed-pottery-ox-artifact-display-case-letsuan-design.jpg","Green-glazed pottery ox artifact displayed in a glass case at the mobile museum exhibition"
"project-mobile-museum","3","../images/mobile-museum-girl-tangram-puzzle-zoo-letsuan-design.jpg","Girl assembling pink tangram pieces into a fish shape at the Puzzle Zoo station"
"project-mobile-museum","4","../images/mobile-museum-exhibition-03-letsuan-design.jpg","Mobile Museum interior"
"project-mobile-museum","5","../images/mobile-museum-children-writing-pictographs-water-reveal-paper-letsuan-design.jpg","Children dipping a hand in water to write pictographic characters on color-changing paper at the Words in the Making station"
"project-mobile-museum","6","../images/mobile-museum-hallway-father-daughter-letsuan-design.jpg","Family in the mobile museum hallway, a father carrying his daughter past the green Puzzle Zoo station"
"project-nmh-highlights","0","../images/nmh-collection-highlights-distant-hallway-letsuan-design.jpg","Visitor walking down a warm-lit minimalist gallery corridor lined with illuminated display niches"
"project-nmh-highlights","1","../images/nmh-collection-highlights-06-letsuan-design.png","Highlights of NMH — Visitor walking past illuminated glass display niches holding ceramic and bronze pieces"
"project-nmh-highlights","2","../images/nmh-collection-highlights-01-letsuan-design.png","Painted pottery horses and figures in a glass case beside an interactive touchscreen kiosk"
